hour,season,holiday,workingday,temp,humidity,windspeed,bikes_rented
6,2,0,0,0.20373330612343313,0.5448681742872146,0.13878281068026954,188
19,2,0,1,0.36994893113241234,0.9453488020069565,0.4877098008572094,97
14,2,1,0,0.9958139167844977,0.54463844229102,0.47983240272513084,203
10,4,0,0,0.3938472527647586,0.9425118248975388,0.32372145243921846,146
7,3,0,0,0.9428107513195947,0.4685483531839325,0.9171811450643367,274
20,2,0,0,0.45303593119092467,0.8084343877246454,0.6531176120057318,68
6,3,0,0,0.4951089920796484,0.960801609927213,0.9801874898443705,161
18,2,0,0,0.8173565948820065,0.7167845425566146,0.06676621082675882,172
22,2,0,0,0.18427449470271104,0.742052180619901,0.3943501729109318,90
10,4,0,1,0.26408199123427556,0.28230899625764094,0.8351375620988106,171
10,1,0,0,0.9764562384776933,0.5793759577311208,0.4226856692121592,281
23,4,0,0,0.5553256059646252,0.9094043248694301,0.2618780270433242,124
20,2,1,0,0.13987871398776727,0.39272786898457457,0.9978075443171072,25
3,2,0,1,0.14264265975044546,0.8306904107986506,0.8731248897023138,125
7,1,0,0,0.9165166153996535,0.7405679086431529,0.5464736612994485,261
23,3,0,1,0.8860285806028458,0.37838877179242997,0.5617092362466075,253
2,3,0,1,0.5125591962505901,0.42623296421437157,0.006862960587653233,236
21,2,0,1,0.24689987735013888,0.5420487200965578,0.9809945808831119,80
20,3,0,1,0.8472561457262318,0.3001033724165805,0.8062951619074916,231
1,2,0,1,0.39214009655168547,0.9306970377265655,0.03672935954462886,167
23,1,0,0,0.47715255879678586,0.7914860840576445,0.17633019215915646,147
11,1,0,1,0.7142287411443862,0.4919712800028638,0.8210312302974248,238
5,2,0,0,0.418058518066889,0.4397323962439694,0.08686554827196069,193
1,1,0,1,0.6658029340284637,0.751663096249902,0.9417857275095671,210
20,4,0,0,0.8967544393983259,0.539376737562193,0.9998910621506252,163
0,4,0,0,0.8176359418970297,0.3834692575240582,0.8864328095802922,218
11,1,1,0,0.44344996648044444,0.544120602379006,0.7389039893575168,124
21,2,0,0,0.3591428992333613,0.8970375865780578,0.48728235116877316,93
